registered_name,gender,elapsed,zwid,name,team,subteam
Adam C.,1,13.173,70177,~ Cycopath ~ (Team Vegan) ,Team Vegan Antelopes,
Erik Haugen,1,13.601,885598,Erik Haugen (R3R Nopinz),NOPINZ R3R,
Tim Elskens,1,13.638,861277,Tim Elskens (SPSD),Sportsolid,
Oliver Milk,1,13.712,50486,Oliver Milk,BRT,
Erik Haugen,1,13.754,885598,Erik Haugen (R3R Nopinz),NOPINZ R3R,
Antti Vale,1,13.762,195687,Antti Valve (FZR),FZR,
Hywel Davies,1,13.771,1119043,Hywel Davies (BRT),BRT,
Hywel Davies,1,13.843,1119043,Hywel Davies (BRT),BRT,
Oliver Milk,1,13.86,50486,Oliver Milk,BRT,
Hywel Davies,1,13.926,1119043,Hywel Davies (BRT),BRT,
Adam C.,1,13.933,70177,~ Cycopath ~ (Team Vegan) ,Team Vegan Antelopes,
Tim Elskens,1,14,861277,Tim Elskens (SPSD),Sportsolid,
Antti Vale,1,14.041,195687,Antti Valve (FZR),FZR,
Duncan Johnson,1,14.092,2124922,Duncan Johnson (OTR),On The Rivet,
Robert McEwan,1,14.119,619770,Robert McEwan (TFC Typhoon),TFC,
Antti Vale,1,14.292,195687,Antti Valve (FZR),FZR,
Robert McEwan,1,14.293,619770,Robert McEwan (TFC Typhoon),TFC,
Antti Vale,1,14.317,195687,Antti Valve (FZR),FZR,
Alex TenElshof,1,14.326,485822,Alex TenElshof (Finesse) ,Finesse Rockets,
Antti Vale,1,14.394,195687,Antti Valve (FZR),FZR,
Tim Elskens,1,14.396,861277,Tim Elskens (SPSD),Sportsolid,
Hans-Georg Becker,1,14.534,1765,H-G Becker (VZT) &#128062;,Team Vegan Alpacas,
Olivier Symoens,1,14.545,1515010,Olivier Symoens,Sportsolid,
Antti Vale,1,14.598,195687,Antti Valve (FZR),FZR,
Antti Vale,1,14.723,195687,Antti Valve (FZR),FZR,
Antti Vale,1,14.744,195687,Antti Valve (FZR),FZR,
Antti Vale,1,14.757,195687,Antti Valve (FZR),FZR,
Adam C.,1,14.79,70177,~ Cycopath ~ (Team Vegan) ,Team Vegan Antelopes,
Alex rockwell,1,14.816,960543,Alex  Rockwell (R3R DEV ABBA),LEQP,
Bart Nowaczek,1,14.902,358286,Bartosz Nowaczek (Vegan Vipers),Team Vegan Alpacas,Alpacas/Vipers
Antti Vale,1,14.939,195687,Antti Valve (FZR),FZR,
Colin Saunders,1,14.955,798491,Colin Saunders (OTR RUSH),On the Rivet,
Peter West,1,14.997,456595,Peter West (R3R Dev),R3R Dev Black Eyed Peas,
Nick Hird,1,15.011,54593,Nick Hird (CRYO RDT Men),CRYO-GEN,
Robert McEwan,1,15.161,619770,Robert McEwan (TFC Typhoon),TFC,
Hans-Georg Becker,1,15.171,1765,H-G Becker (VZT) &#128062;,Team Vegan Alpacas,
Jonny Winward,1,15.235,53428,Jonny Winward (WKG),WKG,
Olivier Symoens,1,15.249,1515010,Olivier Symoens,Sportsolid,
