registered_name,time,zwid,zp_name,points
Antti Vale,27.393,195687,Antti Valve (FZR),12
Adam C.,28.353,70177,~ Cycopath ~ (Team Vegan) ,10
Hywel Davies,29.159,1119043,Hywel Davies (BRT),8
Tim Elskens,29.196,861277,Tim Elskens (SPSD),7
Hans-Georg Becker,29.679,1765,H-G Becker (VZT) &#128062;,6
Nick Hird,29.903,54593,Nick Hird (CRYO RDT Men),5
Olivier Symoens,31.126,1515010,Olivier Symoens,4
Alex TenElshof,31.44,485822,Alex TenElshof &#127755; (Finesse),3
Robert McEwan,32.054,619770,Robert McEwan (TFC Typhoon),2
Duncan Johnson,32.165,2124922,Duncan Johnson (OTR),1
