registered_name,gender,time,zwid,zp_name,points
Nadezda Polakova,2,24.5,189794,Nada 78 &#127793; (Vegan Bees),0
Cheryl Muldoon,2,25.96,113057,Cheryl Muldoon,0
Ruth Breeze,2,26.996,1406512,Ruth Breeze,0
Evelien Bunnik,2,27.182,1421324,Evelien Bunnik &#127793; &#128007; (Vegan Wasabi),0
Michelle Gates,2,27.728,1375409,Michelle Gates &#9419; (Vegan Wasabi),0
Val Cummings,2,27.75,2990367,Val Cummings &#9419; (Vegan Wasabi) ,0
Allison Gates,2,27.783,1375378,Allison Gates &#9419; (Vegan Wasabi),0
Ines Pfeilmeier,2,28.08,1604473,I KP (Vegan Bees),0
Chantale Bouchard,2,28.559,224992,Chalou (Vegan CocoNuts),0
Morgan Bennett,2,28.643,1665071,Morgan Bennett (Vegan CocoNuts),0
