registered_name,gender,time,zwid,zp_name,points
Jeroen Speelmans,1,10.627,1401963,Jeroen Speelmans (LEQP Hunters),0
Evan Flater,1,10.672,1063791,E Flater (OTR FRAPPATTAK),0
Carl Krystek,1,10.986,609290,Carl Krystek (Team Vegan),0
john hughes,1,11.15,1354923,John Hughes (Electricspirit.co B3a),0
Martijn van der Vis,1,11.199,1452217,Martijn Van Der Vis (Vegan Barracudas),0
Daniel unt,1,11.219,182368,Daniel Hunt (LEQP Mistral),0
Darren Humphrey,1,11.319,2378415,Darren Humphrey,0
Simon Molyneux,1,11.33,216169,Simon Molyneux (Vegan Jalapenos),0
Dean dingle,1,11.332,1373912,Dean Dingle (R3R ACDC),0
James Eastwood,1,11.426,353326,James Eastwood (Socks4Watts #AeroAF),0
