registered_name,gender,time,zwid,zp_name,points
Mary Swindles,2,15.923,1140029,Mary Swindles (ART Fusion),0
Amy Morris,2,16.013,2733583,Amy Morris23 [WTRL] (DraftingDinos1),0
Naomi Bright,2,16.299,2885796,Naomi Bright (Vegan Fireflies) ,0
Ladean Unser,2,16.9,86000,Ladean Unser [WTRL] (DraftingDinos2),0
Jen Collins,2,17.088,2547684,Jen Collins[VEGAN fireflies],0
Fiona Thomson,2,17.216,533788,Fiona Thomson (CMA),0
Niene Niene ,2,17.828,1464527,Niene Niene  (KC-M1),0
Ellen Van Eeckhout,2,17.848,2836546,Ellen Van Eeckhout [Team Vegan],0
Dorothy Gibson,2,17.996,143477,dottie g 2156 [WTRL](DraftingDinosUK1),0
Steffi Köhler ,2,18.002,3096003,mookla tm [team vegan],0
