registered_name,time,zwid,zp_name,points
Ryan Biegen,41.873,2952708,Ryan Biegen TT1D (TT1 Gluconauts),12
Nathan Tully,43.901,2757731,Nathan Tully (SDW Youth),10
Jimbo V,44.56,3297493,Jimbo Viny (TFC),8
Jason Watts,45.734,983355,Jason Watts &#9419; (Vegan CocoNuts),7
Henry Bottoms,48.697,3199370,Henry Bottoms (SDW YOUTH),6
Cefn O'Ryan,50.705,740252,Cefn O&rsquo;Ryan (ART Fusion),5
Leo Hughes,51.822,2403581,Leo Hughes [SDW] Youth,4
Pierre-Alexandre TARRIEU,53.578,3314041,Pierre-Alexandre Tarrieu,3
Ladean Unser,54.754,86000,Ladean Unser [WTRL] (DraftingDinos2),2
Tim Coppens,55.511,2139446,Tim Coppens&#127793; [Team Vegan],1
